isolate_key,country_clean,isolate_clean,n_segment_records,segments_present,has_L,has_M,has_S,complete_L,complete_M,complete_S,has_all_three_segments,has_complete_LMS,segment_pattern
Guinea | ACCESSION_DQ375420,Guinea,ACCESSION_DQ375420,1,L,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,L only
Guinea | ACCESSION_DQ375421,Guinea,ACCESSION_DQ375421,1,L,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,L only
Guinea | ACCESSION_DQ380165,Guinea,ACCESSION_DQ380165,1,S,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,S only
Guinea | ACCESSION_DQ380166,Guinea,ACCESSION_DQ380166,1,S,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,S only
Guinea | ACCESSION_DQ380215,Guinea,ACCESSION_DQ380215,1,M,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,M only
Guinea | ACCESSION_DQ380216,Guinea,ACCESSION_DQ380216,1,M,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,M only
Guinea | ACCESSION_EU312109,Guinea,ACCESSION_EU312109,1,S,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,S only
Guinea | AnK3837,Guinea,AnK3837,1,M,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,M only
Kenya | 08HAB,Kenya,08HAB,3,L+M+S,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,L+M+S
Kenya | 214445,Kenya,214445,1,M,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,M only
Kenya | 250618,Kenya,250618,3,L+M+S,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,L+M+S
Kenya | 500618,Kenya,500618,3,L+M+S,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,L+M+S
Kenya | A-MO,Kenya,A-MO,3,L+M+S,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,L+M+S
